"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","4","0","0"
"","Banner Functionality","Checking redirection to new url from  banner with Valid Formation","0","1","0","0","0"
"","Banner Functionality","Checking text banner for Valid Formation","0","0","1","0","0"
